metric,value,unit,notes
Total Revenue FY2024,350,USD Billions,13.8% YoY increase
Net Income FY2024,100,USD Billions,35.8% YoY increase
Revenue Share from Search Ads,56,Percent,Core business remains search advertising
AdSense Revenue,30.3,USD Billions,Third-party ad network revenue
Google Cloud Revenue FY2024,43.2,USD Billions,31.1% YoY increase
Google Cloud Revenue Q4 2025,17.7,USD Billions,48% YoY increase
Google Cloud Revenue Q1 2026,20.1,USD Billions,63% YoY increase; crossed $20B for first time in a quarter
Google Cloud Annual Run Rate End 2025,70,USD Billions,Backlog reported at $240 Billion
US Revenue Share,48,Percent,Largest single-country contributor
Search Market Share,82.3,Percent,Search engine market
Google Search Users,4000,Millions,Most-used internet service globally
Daily Searches Processed,10,Billions,Average in 2024
